"ID_ADRESY"	"ULICE"	"CISLO_ORIENTACNI"	"CISLO_POPISNE"	"PSC"	"NAZEV"
96	"Klicperova"	""	5	50351	""
97	"Osvobození"	""	55	55001	""
98	"Školní"	""	2	51743	""
99	"Križíkova"	""	486	54101	""
100	"Pivovarská"	""	400	50901	""
101	"Dobrošovská"	""	130	54740	""
102	"Raisova"	""	699	54401	""
103	"NamestíK.J.Erbena"	""	98	50771	""
104	"BelecnadOrlicí"	""	2	50346	""
105	"Krovickául."	""	267	51801	""
106	"Príchovice"	""	1	46848	""
107	"Pivovarská"	""	405	47154	""
108	"Pivovarská"	""	164	46311	""
109	"Zásada"	""	154	46825	""
110	"MalýRohozec"	""	29	51101	""
111	"Svijanyc.p."	""	25	46346	""
112	"Lukášovská"	""	43	46015	""
113	"Hejnická"	""	4073	46401	""
114	"Lešetinská"	"14"	366	73301	""
115	"Pivovarská"	""	14	79501	""
116	"DolníSklenov"	""	19	73946	""
117	"Polská"	"8"	117	73401	""
118	"Pivovarská"	""	17	73301	""
119	"KSokolovne"	""	135	73932	""
120	"Martinovská"	"50"	3262	72300	""
121	"Brušperská"	""	24	73924	""
122	"UFortny"	"10"	49	74601	""
123	"Palacov"	""	43	74101	""
124	"Blatná"	""	554	73531	""
125	"Karpentná"	""	152	73961	""
126	"Vojkovice"	""	10	73951	""
127	"Ostravská"	"3"	314	74301	""
128	"Selská"	"8a"	1589	73601	""
129	"Ruská"	"1"	1448	79201	""
130	"Podezdí"	"13"	148	74801	""
131	"Csl.armády"	""	808	79401	""
132	"Hornopolní"	""	57	70200	""
133	"Jílovául."	""	2	73601	""
134	"UZámku"	"1"	42	70030	""
135	"Prívozská"	""	34	70200	""
136	"Námestí"	""	1	73911	""
137	"Slezská"	""	86	74725	""
139	"Nešverova"	""	2	77900	""
140	"OtakaraBreziny"	"002B"	1369	79001	""
141	"Riegrova"	"381"	22	77900	""
142	"Pivovarskául."	""	261	78833	""
143	"Dalimilova"	"92"	18	78335	""
144	"Komenského"	""	318	78344	""
145	"Drahanovice"	""	10	78344	""
146	"Palackého"	""	934	78401	""
147	"1.máje"	"10"	21	78335	""
148	"Tovární"	"5"	1021	75002	""
149	"St.Krejcího"	"4"	122	77200	""
150	"Komenského"	""	35	75002	""
151	"Novosady"	""	164	75131	""
152	"KoutynadDesnou"	""	65	78811	""
153	"KováloviceuTištína"	""	57	79829	""
154	"Mariánská"	"4"	845	77900	""
155	"Sobotín"	""	303	78816	""
156	"ŽlebskéChvalovice"	""	88	53843	""
157	"Pivovarská"	""	151	57214	""
158	"T.Novákové"	""	64	57001	""
159	"Moravská"	""	207	56002	""
160	"Žižkova"	""	801	56601	""
161	"NaDrahách"	""	444	56401	""
162	"Medlešice"	""	2	53831	""
163	"Dašická"	""	300	53375	""
164	"Palackéhotrída"	""	250	53033	""
165	"Resslova"	""	260	53901	""
166	"Ceskéarmády"	""	1400	56401	""
167	"Letiny"	""	66	33601	""
168	"Bezdekov"	""	75	33901	""
169	"Cižice"	""	76	33209	""
170	"ŽeleznáRuda"	""	189	34004	""
171	"Pivovarská"	""	34	33101	""
172	"Sokolská"	""	282	33701	""
173	"NámestíRepubliky"	""	2	34601	""
174	"Puchmajerova"	""	639	33828	""
176	"PodRozhlednou"	""	31	31200	""
177	"Karlovarská"	""	103	32300	""
178	"Mozartova"	""	132	32300	""
179	"Komenského"	""	10	34401	""
180	"UPrazdroje"	""	7	30497	""
181	"Truhlárská"	""	10	30100	""
182	"Pivovarská"	""	107	34813	""
183	"Modrava"	""	10	34192	""
184	"námestíT.G.Masaryka"	""	159	33441	""
186	"Náves"	""	20	33001	""
187	"NávesRepubliky"	""	55	33203	""
189	"Mírovénámestí"	""	42	33901	""
190	"NaRoudné"	"18"	443	30100	""
192	"Zhur"	""	138	33501	""
193	"Srní"	""	45	34192	""
194	"Selskánáves"	"2"	21	32600	""
195	"Príšov"	""	30	33011	""
197	"KVetrovu"	""	529	25168	""
198	"Ceskobrodskácp."	""	17	28163	""
199	"Kounice"	""	52	28915	""
200	"UPivovaru"	""	1	27053	""
201	"UMlýna"	""	8	26729	""
202	"Oborište"	""	53	26212	""
205	"ZaRadnicí"	""	739	25241	""
206	"Lobec"	""	34	27736	""
207	"MaláBelá"	""	16	29401	""
208	"Komenského"	""	21	25791	""
209	"Vinarického14/"	""	10	27401	""
210	"Tyršova"	""	135	26601	""
211	"Táborská"	""	306	25601	""
212	"Zámeckýobvod"	""	31	26272	""
213	"Pivovarská"	""	214	26724	""
214	"VPodskalí"	""	6	28509	""
215	"URadnice"	""	115	26742	""
216	"Dobrichovická"	""	452	25229	""
217	"Pražská"	""	581	28825	""
218	"Volšinkách"	"7"	596	25001	""
219	"Kován"	""	21	29430	""
220	"Podlesí"	""	139	26101	""
221	"Polepy"	""	232	28002	""
222	"Wilsonova"	""	689	27401	""
223	"Kvetnovénámestí"	""	5	25243	""
224	"Rýznerova"	""	19	25262	""
225	"Ringhofferova"	""	1	25169	""
226	"VysokýChlumec"	""	29	26252	""
227	"Zbraslavice"	""	2	28521	""
228	"Hlavní"	""	525	25301	""
229	"VelkáStrana"	""	2	27002	""
230	"Kován"	""	21	29426	""
231	"Husova"	""	24	29001	""
232	"Chorušická"	""	93	27738	""
233	"Eškova"	""	33	26223	""
234	"NaCervenémhrádku"	""	793	26401	""
235	"Ceskoslovenskéarmády"	""	3230	27201	""
236	"Želivecká"	""	707	25168	""
237	"Havlíckova"	""	545	26901	""
238	"Zichovec"	""	99	27374	""
239	"Komenského"	"4"	748	41201	""
240	"28.ríjna"	"19"	1081	43001	""
241	"Husitská"	""	199	41741	""
242	"Krinickénámestí"	""	7	40746	""
243	"Šafaríkova"	""	2538	43801	""
244	"Rybalkova"	""	1323	44001	""
245	"Ceskolipská"	""	2100	41201	""
246	"Zítkova"	"5"	784	41201	""
